CODE,DESCRIPTION,FAMILY,GROSS PRICE,EAN13,PACKAGING
102145000,COPPIA CILIN.X 11161/261,1811,45.73,8.01535E+12,6
1021450000000SX,COPPIA CILINDRI,1811,49.74,8.01535E+12,6
102146000,COPPIA CILINDRI X 11160,1811,45.73,8.01535E+12,6
1021460000000SX,COPPIA CILINDRI X 11160,1811,49.74,8.01535E+12,6
102156000,COPPIA CILINDRI,1811,43.72,8.01535E+12,6
1021560000000SX,COPPIA CILINDRI - CON PROF.CHIAVE SX,1811,47.74,8.01535E+12,6
1021880001291PP,COPPIA CILINDRO SMONTATO,1812,62.12,8.01535E+12,1
102325100,CILINDRO APRE PER PROFILI,1822,91.9,8.01535E+12,6
102400100,CILIN CON CHIAVE A SPILLO CORTA  WHALE,1823,32.21,8.01535E+12,12
1024001000000KA,"1024001000000KA : CILIN.CON CHIAVE A SPILLO CORTA ""WHALE""",1823,32.21,8.01535E+12,1
102400110,CILIND CON CHIAVE A SPILLO LUNGA  WHALE,1823,34.7,8.01535E+12,12
1024001100000KA,1024001100000KA : CILIND CON CHIAVE A SPILLO LUNGA  WHALE,1823,34.7,0,1
102520000,CILINDRO SAGOMATO,1811,39.54,8.01535E+12,6
102544100,CILINDRO SERRANDA,1811,27,8.01535E+12,6
102544140,CILINDRO SERRANDA,1811,27,8.01535E+12,6
102544150,CILINDRO SERRANDA,1811,27,8.01535E+12,6
102550250,CILINDRO TONDO,1811,26.5,8.01535E+12,6
1025502500000SX,CILINDRO TONDO - CON PROF.CHIAVE SX,1811,30.53,8.01535E+12,6
10255025012,CILINDRO TONDO NICH.,1811,28.03,8.01535E+12,6
102649010,CILINDRO RICIFRABILE PER LUCCHETTO TOP,1821,22.76,8.01535E+12,6
1026490100000SX,CILINDRO RICIFRABILE PER LUCCHETTO TOP,1821,27.06,8.01535E+12,6
102649100,CILINDRO APPL. OTTON.STD,1821,22.76,8.01535E+12,6
10264910012,CILINDRO APPL. OTTON.STD,1821,24.5,8.01535E+12,6
102649110,CILINDRO APPL. OTTONE,1821,22.76,8.01535E+12,6
10264911012,CILINDRO APPL. OTTONE,1821,24.5,8.01535E+12,6
102650010,CIL.RICIFR.X LUCCH.TOP,1821,26.21,8.01535E+12,6
102715101,CILINDRO A MAPPE CON CH.00162,2195,238.32,8.01535E+12,1
102715111,CILINDRO A MAPPE CON CH.00163,2195,238.32,8.01535E+12,
102716001,CILINDRO A MAPPE CON 3 CH.00162 CIFRATE,2195,335.09,8.01535E+12,1
102716311,CILINDRO A MAPPE CON 5 CH.00163 CH/CANT.CIFRATA,2195,394.42,8.01535E+12,1
102716501,CILINDRO A MAPPE CON 3 CH.00162 CIFRATE NUOVA VERS,2195,335.09,8.01535E+12,1
10271650118,CILINDRO A MAPPE CON 3 CH.00162 CIFRATE NUOVA VERS,2195,335.09,8.01535E+12,1
102716511,CILINDRO A MAPPE CON 5 CH.00162 CIFRATE NUOVA VERS,2195,379.11,8.01535E+12,1
10271651118,CILINDRO A MAPPE CON 5 CH.00162 CIFRATE NUOVA VERS,2195,379.11,8.01535E+12,1
102716601,CILINDRO A MAPPE CON 3 CH.00163 CIFRATE NUOVA VERS,2195,335.09,8.01535E+12,1
10271660118,CILINDRO A MAPPE CON 3 CH.00163 CIFRATE NUOVA VERS,2195,335.09,8.01535E+12,1
102716611,CILINDRO A MAPPE CON 5 CH.00163 CIFRAT NUOVA VERSI,2195,379.11,8.01535E+12,1
10271661118,CILINDRO A MAPPE CON 5 CH.00163 CIFRAT NUOVA VERSI,2195,379.11,8.01535E+12,1
